,T,sigma,K,r,model,Model Price,Binomial Price,Lower,Upper,Absolute Error,Relative Error
103,0.25,0.4,110,0.03,mlp,157.6289511598077,4.484314348929896,47.30452262870688,267.95337969090855,153.1446368108778,3415.118229778497
104,0.25,0.4,110,0.05,poly,274.1749926704404,4.6449924162612595,69.19945025053045,479.1505350903504,269.5300002541792,5802.592902210227
105,0.25,0.4,110,0.05,random forest,332.5978049569153,4.6449924162612595,156.44897353061745,508.7466363832132,327.95281254065407,7060.351947885899
106,0.25,0.4,110,0.05,xgboost,394.1842509695879,4.6449924162612595,187.04514248521764,601.3233594539581,389.53925855332665,8386.219473461824
107,0.25,0.4,110,0.05,mlp,155.21620922248115,4.6449924162612595,44.8691937663169,265.5632246786454,150.5712168062199,3241.5815422883775
108,0.5,0.15,90,0.01,poly,35.824905976734264,11.210476326019549,0.8825940281704021,70.76721792529813,24.614429650714715,219.5663139984922
109,0.5,0.15,90,0.01,random forest,142.3043334181318,11.210476326019549,91.81604870928632,192.79261812697726,131.09385709211224,1169.3870383352312
110,0.5,0.15,90,0.01,xgboost,167.69543412688654,11.210476326019549,109.70665103642824,225.68421721734484,156.484957800867,1395.881434918737
111,0.5,0.15,90,0.01,mlp,72.15798309387195,11.210476326019549,21.832430625157784,122.48353556258611,60.9475067678524,543.665630214062
112,0.5,0.15,90,0.03,poly,35.82379364364334,11.960708497552872,0.8702625512922992,70.77732473599438,23.86308514609047,199.51230440046916
113,0.5,0.15,90,0.03,random forest,143.0175759124674,11.960708497552872,92.17502638076547,193.86012544416934,131.05686741491454,1095.728296043068
114,0.5,0.15,90,0.03,xgboost,167.94680570283444,11.960708497552872,109.93477418549246,225.9588372201764,155.98609720528157,1304.1543252826193
115,0.5,0.15,90,0.03,mlp,72.29608815576039,11.960708497552872,21.94618657051545,122.64598974100532,60.335379658207515,504.4465356759757
116,0.5,0.15,90,0.05,poly,35.88543000600848,12.721554156092706,0.923136924932443,70.84772308708452,23.16387584991577,182.08369485124538
117,0.5,0.15,90,0.05,random forest,141.42417775892307,12.721554156092706,90.89760957155184,191.9507459462943,128.70262360283036,1011.6894683122588
118,0.5,0.15,90,0.05,xgboost,168.16831768630396,12.721554156092706,110.13073585372598,226.20589951888195,155.44676353021126,1221.9164547262765
119,0.5,0.15,90,0.05,mlp,72.43273540845897,12.721554156092706,22.058754073570896,122.80671674334704,59.71118125236626,469.3701769431128
120,0.5,0.15,100,0.01,poly,57.37749360251937,4.459929017110389,10.189178065748514,104.56580913929022,52.91756458540898,1186.5113633511266
121,0.5,0.15,100,0.01,random forest,135.286869945827,4.459929017110389,84.81856962288214,185.75517026877185,130.8269409287166,2933.3861688561137
